authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/joc/jqab029+12.0,CN,Education,Michelle,Meryl,female,10.1093/joc/jqab029,F,0.0,White
10.1093/jcmc/zmab007+3.0,US,Education,Michelle,Natalya,female,10.1093/jcmc/zmab007,F,0.0,White
10.1093/joc/jqz052+31.0,CN,Education,Michelle,Xiaohui,male,10.1093/joc/jqz052,M,2.0,Asian
10.1093/jcmc/zmab005+2.0,CN,Education,Michelle,Yue,female,10.1093/jcmc/zmab005,F,2.0,Asian
10.1093/hcr/hqaa014+7.0,DE,Education,Michelle,Peter,male,10.1093/hcr/hqaa014,M,0.0,White
10.1093/ct/qtaa016+1.0,KR,Education,Michelle,Thomas,male,10.1093/ct/qtaa016,M,0.0,White
10.1093/hcr/hqab009+3.0,US,Education,Michelle,Kevin,male,10.1093/hcr/hqab009,M,0.0,White
10.1093/joc/jqz052+33.0,SG,Education,Michelle,Nuri,male,10.1093/joc/jqz052,F,2.0,Asian
10.1093/jcmc/zmaa015+2.0,CN,Education,Michelle,Lik,male,10.1093/jcmc/zmaa015,M,2.0,Asian
10.1093/joc/jqab035+4.0,US,Education,Michelle,Susanne,female,10.1093/joc/jqab035,F,0.0,White
10.1093/jcmc/zmab007+4.0,US,Education,Michelle,Dominic,male,10.1093/jcmc/zmab007,M,0.0,White
10.1093/joc/jqab029+5.0,GB,Education,Michelle,Łukasz,,10.1093/joc/jqab029,M,0.0,White
10.1093/joc/jqab009+3.0,US,Education,Michelle,Kellie,female,10.1093/joc/jqab009,F,0.0,White
10.1093/ct/qtz022+1.0,US,Education,Michelle,Patrick,male,10.1093/ct/qtz022,M,0.0,White
10.1093/joc/jqab037+1.0,US,Education,Michelle,Virginia,female,10.1093/joc/jqab037,F,3.0,Hispanic
10.1093/ct/qtaa030+1.0,CH,Education,Michelle,Patric,male,10.1093/ct/qtaa030,M,0.0,White
10.1093/ct/qtaa027+1.0,NZ,Education,Michelle,Tara,female,10.1093/ct/qtaa027,F,0.0,White
10.1093/joc/jqab003+4.0,NL,Education,Michelle,Judith,female,10.1093/joc/jqab003,F,0.0,White
10.1093/joc/jqz052+12.0,DE,Education,Michelle,Frank,male,10.1093/joc/jqz052,M,0.0,White
